id,age,year,wrkstat,hrs1,marital,agekdbrn,sibs,chathr,emailhr,postlife,sex,othlang,born,engunite,payexec,comwht,race,realrinc,educ,grass,degree,letters,aged,realinc,childs,abpoor,abany,prestg80,mapres80,papres80,wordsum,pasei,masei,god,numcong,grass_missing
838,72,2000,"keeping house",,"widowed",24,3,0,1,,"female",,"yes",,,,"white",,14,"legal","high school",,"a bad idea",29925,2,"yes","yes",50,,51,8,63.5,,,400,"legal"
839,44,2000,"working fulltime",55,"married",33,4,0,1,,"male",,"yes",,,,"white",134018,18,,"graduate","50+",,141038,2,"yes","yes",51,,49,9,64.1,,"believe sometimes",600,.a
840,80,2000,"retired",,"widowed",,1,,,"yes","male",,"yes",,,,"white",,12,,"high school","1-2",,44887,0,"no","no",36,,36,6,32,,"know god exists",140,.a
841,32,2000,"working fulltime",45,"married",23,10,,,,"male",,"no",,,,"other",12468,12,"legal","high school",,"depends",12468,2,"no","no",29,,40,2,37.3,,,200,"legal"
842,23,2000,"working parttime",35,"never married",,2,0,7,"yes","male",,"yes",,,,"white",7481,16,"not legal","bachelor","6-10","a good idea",7481,0,,,28,,,6,,,"some higher power",,"not legal"
843,37,2000,"working fulltime",56,"separated",,3,0,0,"no","female",,"yes",,,,"white",15793,14,"legal","high school","0","depends",15793,0,,,51,,31,6,33.3,,"believe but doubts",,"legal"
844,78,2000,"retired",,"widowed",20,3,,,"yes","female","no","yes","agree",250000,100,"white",,11,"not legal","high school",,"depends",7481,4,"no","no",44,,40,,37.3,,,160,"not legal"
845,31,2000,"working fulltime",40,"married",,1,,10,"yes","female","no","no","strongly agree",,60,"white",18287,16,"not legal","bachelor",,"depends",141038,0,,,53,,51,,63.5,,,200,"not legal"
846,87,2000,"retired",,"widowed",30,5,,,"yes","female","no","yes","strongly agree",75000,60,"white",,13,"not legal","high school",,"a bad idea",,1,"no","no",46,,65,,76.4,,,800,"not legal"
847,83,2000,"retired",,"never married",,1,,,"no","male",,"yes",,,,"white",,15,"not legal","high school","0","depends",24937,0,,,38,,41,7,50.5,,"some higher power",,"not legal"
848,76,2000,"retired",,"widowed",20,5,,,"yes","female",,"yes",,,,"white",,13,,"high school","3-5",,15793,3,"no","no",43,,,5,,,"know god exists",280,.a
849,83,2000,"retired",,"widowed",,1,,,,"female","no","yes","strongly agree","> 1000000",65,"white",,15,"not legal","high school",,"a bad idea",14131,3,"no","no",66,23,40,,37.3,26.5,,,"not legal"
850,83,2000,"retired",,"widowed",22,1,,,"yes","female","no","yes","agree",,55,"white",,16,"not legal","bachelor",,,44887,2,,,,,51,,63.5,,,1000,"not legal"
851,49,2000,"working fulltime",50,"married",39,2,,,"yes","male","no","yes","agree","> 1000000",75,"white",134018,19,,"graduate",,,141038,2,"no","no",51,66,73,,83.9,80.3,,1200,.a
852,66,2000,"working parttime",20,"married",22,2,,0,"yes","male","yes","yes","strongly agree","> 1000000",70,"white",44887,16,"legal","bachelor",,"depends",141038,3,,,49,,53,,52.4,,,100,"legal"
853,72,2000,"retired",,"widowed",,2,,,,"female",,"yes",,,,"white",,16,"not legal","bachelor",,"a good idea",44887,0,"no","no",64,,44,7,50.7,,"know god exists",1500,"not legal"
854,46,2000,"working fulltime",48,"separated",27,3,0,7,"yes","female",,"yes",,,,"black",29925,16,"legal","bachelor","26-50","a good idea",66500,2,,,65,,51,8,63.5,,"believe sometimes",500,"legal"
855,73,2000,"retired",,"married",29,3,,,"yes","female","yes","yes","strongly agree",950000,75,"white",,16,"legal","bachelor",,"depends",141038,4,"yes","yes",60,,51,,63.5,,,,"legal"
856,41,2000,"keeping house",,"married",27,3,,,"yes","male","no","yes","strongly agree","> 1000000",97,"white",9143,10,"legal","high school",,"depends",29925,2,"yes","yes",36,,40,,37.3,,,,"legal"
857,39,2000,"working parttime",35,"separated",27,2,,0,"yes","female","no","yes","strongly agree","> 1000000",90,"white",10806,13,,"high school",,,10806,1,"yes","yes",28,42,35,,44.2,32.3,,150,.a
858,59,2000,"retired",,"married",18,3,0,14,"yes","female",,"yes",,,,"white",,14,"legal","high school","6-10","a bad idea",36575,2,,,29,,86,10,97.2,,"know god exists",300,"legal"
859,83,2000,"retired",,"widowed",,0,,,,"female",,"yes",,,,"white",,12,"legal","high school",,"a bad idea",7481,0,"no","no",44,,47,7,38.2,,"believe but doubts",100,"legal"
860,51,2000,"working fulltime",60,"married",18,7,0,0,"yes","female","no","yes","agree",350000,98,"white",44887,14,"not legal","junior college",,"a good idea",66500,3,,,51,33,60,,63.2,27.7,,200,"not legal"
861,46,2000,"working parttime",30,"divorced",22,4,,,,"male",,"yes",,,,"white",9143,9,"legal","lt high school",,"a good idea",9143,2,"no","no",22,35,30,2,31.5,26.7,"know god exists",150,"legal"
862,25,2000,"working parttime",32,"never married",20,2,,0,"yes","female","no","yes","disagree",100000,50,"white",14131,13,"legal","high school",,"a good idea",14131,1,,,25,,30,,31.5,,,,"legal"
863,88,2000,"retired",,"widowed",31,1,,,"yes","female","yes","yes","agree",200000,65,"white",,15,"not legal","high school",,"a bad idea",9143,2,,,65,,51,,63.5,,,200,"not legal"
864,26,2000,"working parttime",14,"never married",17,3,,,"no","female","no","yes","agree",,,"black",,10,,"lt high school",,,5985,1,"no","no",29,,,,,,,,.a
865,31,2000,"working fulltime",48,"never married",16,7,0,0,"yes","female",,"yes",,,,"black",15793,12,,"high school","0",,15793,5,"yes","no",35,36,24,6,29.2,35.1,"know god exists",300,.a
866,65,2000,"other",,"divorced",24,3,,,"yes","female",,"yes",,,,"white",,,,"graduate","11-15",,3657,3,,"no",,,45,9,65.8,,,400,.a
867,37,2000,"working fulltime",40,"married",31,3,,0,,"male",,"yes",,,,"white",36575,13,"legal","high school","6-10","a good idea",36575,2,,,39,28,47,5,38.2,32.4,"believe but doubts",,"legal"
868,52,2000,"working fulltime",44,"never married",28,6,,,"yes","male","no","yes","agree",,40,"white",7481,8,,"lt high school",,,7481,2,"no","no",51,42,30,,29.4,29.3,,18,.a
869,60,2000,"keeping house",,"married",33,4,,,,"male",,"yes",,,,"white",,6,"not legal","lt high school",,"a good idea",4322,"eight or more","yes","yes",22,,45,3,38.1,,"believe sometimes",,"not legal"
870,61,2000,"working fulltime",40,"divorced",22,1,,,"yes","female","no","yes","agree","> 1000000",60,"white",21612,12,,"high school",,"a bad idea",21612,4,"yes","yes",40,,42,,32.3,,,200,.b
871,59,2000,"working fulltime",56,"married",21,3,0,5,"yes","male",,"yes",,,,"white",66500,17,,"graduate","50+",,141038,3,"no","no",51,,45,9,38.1,,"know god exists",1200,.a
872,28,2000,"working fulltime",46,"married",19,3,,,"yes","male","no","yes","agree",,,"white",12468,14,"legal","high school",,"a good idea",24937,1,,"no",33,,,,,,,,"legal"
873,31,2000,"working parttime",18,"never married",24,2,0,4,"yes","female",,"yes",,,,"white",2327,18,"not legal","bachelor","1-2","a bad idea",9143,1,,,64,,51,5,63.5,,"know god exists",600,"not legal"
874,31,2000,"working parttime",35,"divorced",22,1,0,0,"yes","female",,"yes",,,,"white",2992,16,,"bachelor","11-15",,5985,1,"yes","yes",64,66,64,10,86,73.2,"know god exists",2000,.a
875,21,2000,"working fulltime",30,"never married",19,2,,,"yes","female",,"yes",,,,"white",2327,12,,"high school","3-5",,5985,1,"no","no",21,66,22,8,28.4,73.2,"know god exists",,.a
876,84,2000,"retired",,"divorced",32,1,,,"yes","male",,"yes",,,,"white",,13,"not legal","high school","0","a bad idea",7481,1,,,45,51,45,7,65.8,63.5,"believe but doubts",,"not legal"
877,86,2000,"retired",,"widowed",29,1,,,"yes","male","no","yes","agree",,80,"white",,13,,"high school",,,2992,2,"no","no",25,30,,,,38.4,,200,.a
878,72,2000,"retired",,"divorced",20,8,,,"no","female",,"yes",,,,"white",,10,,"lt high school","16-25","a bad idea",7481,1,,,32,35,,5,,26.7,"believe sometimes",,.b
879,79,2000,"retired",,"married",22,1,,,"no","female","no","yes","agree","> 1000000",60,"white",,12,"not legal","high school",,"a bad idea",10806,2,"no","no",30,,42,,50.2,,,500,"not legal"
880,76,2000,"retired",,"divorced",26,1,,,"yes","female","no","yes","agree",120000,60,"white",,13,,"high school",,,7481,1,"no","no",46,,33,,27.7,,,500,.a
881,89,2000,"retired",,"divorced",30,4,,,"yes","male","no","yes","agree",500000,90,"white",,13,,"high school",,,12468,3,"no","no",45,,30,,31.5,,,,.a
882,76,2000,"retired",,"widowed",19,5,,,"yes","female","no","yes","strongly disagree",100000,80,"white",,14,"not legal","high school",,"a bad idea",5985,3,,,,,40,,45.8,,,300,"not legal"
883,85,2000,"retired",,"widowed",,1,,,,"female",,"yes",,,,"white",,11,"not legal","lt high school",,"a bad idea",,0,"no","no",35,20,24,6,29.2,21.2,"know god exists",300,"not legal"
884,31,2000,"working fulltime",40,"never married",,3,,0,"yes","female",,"yes",,,,"white",10806,12,"not legal","high school","6-10","a good idea",21612,0,,,32,,30,3,31.5,,"dont believe",50,"not legal"
885,67,2000,"retired",,"married",21,7,,,"yes","male",,"yes",,,,"white",,9,,"lt high school","0",,5985,7,"no","no",36,,,7,,,"know god exists",150,.a
886,70,2000,"working parttime",22,"divorced",32,6,,,,"female",,"yes",,,,"white",2327,9,"not legal","lt high school",,"a bad idea",5985,2,"no","no",32,30,50,5,32.7,29.4,,700,"not legal"
887,31,2000,"working fulltime",40,"married",25,2,,,"yes","female","no","yes","disagree",100000,65,"white",12468,14,"legal","high school",,"a good idea",24937,2,,,46,,51,,62,,,,"legal"
888,31,2000,"keeping house",,"married",21,5,,1,,"female",,"yes",,,,"white",7481,14,"not legal","junior college",,"a good idea",141038,2,"no","no",60,64,51,6,63.5,78.5,"know god exists",100,"not legal"
889,45,2000,"school",,"divorced",24,2,0,1,,"female",,"yes",,,,"white",,18,"not legal","bachelor",,"a good idea",10806,3,"no","no",,66,51,9,62.2,80.3,"know god exists",200,"not legal"
890,53,2000,"working fulltime",40,"married",27,2,,0,"yes","male","no","yes","agree",100000,60,"white",36575,12,"not legal","high school",,"a bad idea",36575,1,,,47,28,51,,44.7,17.1,,200,"not legal"
891,77,2000,"keeping house",,"widowed",25,7,,,"yes","female",,"yes",,,,"white",,12,"not legal","high school","16-25","depends",7481,2,,,28,,36,5,28.6,,"know god exists",350,"not legal"
892,45,2000,"working fulltime",57,"married",30,3,0,0,"yes","male",,"yes",,,,"white",29925,17,,"graduate","1-2",,36575,3,"no","no",66,,61,6,80,,,250,.a
893,39,2000,"working parttime",25,"married",33,4,,20,"yes","female",,"yes",,,,"white",333,16,"not legal","bachelor","3-5","a good idea",44887,2,,,30,32,69,10,73.9,38.9,"know god exists",180,"not legal"
894,55,2000,"working fulltime",38,"married",,0,,0,"yes","female","no","yes","disagree","> 1000000",95,"white",18287,14,"not legal","junior college",,"a bad idea",29925,0,,,61,,,,,,,,"not legal"
895,52,2000,"working fulltime",45,"married",25,2,12,15,"yes","male","no","yes","agree",100000,80,"white",29925,18,,"graduate",,,29925,2,"no","no",65,34,40,,37.3,28.9,,200,.a
896,60,2000,"working fulltime",50,"married",,2,0,4,,"female",,"yes",,,,"white",21612,18,"not legal","bachelor",,"a good idea",44887,0,"no",,64,47,40,8,49.9,48.5,,712,"not legal"
897,30,2000,"working fulltime",45,"married",23,3,,2,"yes","female",,"yes",,,,"black",21612,16,"not legal","bachelor","0","a bad idea",44887,2,,,52,55,54,5,49.6,56.6,"know god exists",300,"not legal"
898,60,2000,"retired",,"married",22,3,,,"yes","male","no","yes","strongly agree","> 1000000",60,"white",,14,"not legal","high school",,"a good idea",24937,2,"no","no",59,,40,,37.3,,,700,"not legal"
899,48,2000,"working fulltime",89,"married",24,3,,1,"yes","male","yes","yes","strongly agree",50000,95,"white",12468,15,,"junior college",,,14131,4,"no","no",37,,39,,34.2,,,100,.a
900,50,2000,"working fulltime",49,"married",33,3,0,0,"yes","male",,"yes",,,,"white",,12,,"high school","3-5",,36575,2,"no","no",52,,50,10,37.8,,"know god exists",150,.a
901,20,2000,"working fulltime",40,"never married",19,2,,0,"no","female","no","yes","disagree",50000,75,"black",,12,"not legal","high school",,"depends",24937,1,,,29,47,70,,59.3,38,,350,"not legal"
902,86,2000,"retired",,"married",27,4,,,"yes","female",,"yes",,,,"white",,16,,"bachelor","1-2",,29925,2,"no","no",64,,40,9,37.3,,"know god exists",5000,.a
903,21,2000,"working parttime",10,"never married",,2,5,0,"yes","male","no","yes","agree","> 1000000",50,"white",1330,12,,"high school",,,1330,0,"no","no",20,46,35,,25.8,38.4,,200,.a
904,69,2000,"keeping house",,"divorced",17,15,,,"no","female",,"yes",,,,"black",,2,"not legal","lt high school","6-10","depends",4322,1,,,31,,36,4,29.4,,,,"not legal"
905,23,2000,"working parttime",24,"married",18,9,,0,"yes","female",,"yes",,,,"other",,8,"legal","lt high school","6-10","depends",5985,2,,,22,,,6,,,"know god exists",,"legal"
906,80,2000,"retired",,"widowed",18,0,,,"no","female",,"yes",,,,"black",,7,,"lt high school","0",,4322,"eight or more","no","yes",39,,,5,,,"dont believe",50,.a
907,37,2000,"working fulltime",30,"divorced",19,12,,,,"female","no","yes","agree",,10,"black",,12,,"high school",,,1330,3,"no","no",31,47,22,,28.4,31.2,,300,.a
908,58,2000,"working fulltime",40,"divorced",16,7,,0,"no","female","no","yes","strongly agree",,,"black",,,"not legal",,,"depends",,"eight or more",,,52,31,,,,27.5,,80,"not legal"
909,37,2000,"working parttime",20,"married",17,7,,,"yes","female","yes","yes","agree",20000,50,"other",1330,9,"not legal","lt high school",,"a bad idea",7481,3,"no","no",20,,,,,,,300,"not legal"
910,59,2000,"other",,"divorced",21,8,,,"yes","female","no","yes","agree",90000,1,"white",,14,"legal","high school",,"depends",4322,1,"no","no",30,42,39,,34.2,29.3,,,"legal"
911,47,2000,"other",,"married",18,7,,,"yes","male",,"yes",,,,"black",,8,,"lt high school","1-2",,10806,5,"no","yes",21,24,24,5,29.2,29.2,"know god exists",,.a
912,79,2000,"keeping house",,"married",,4,,,"yes","female","no","yes","agree",,80,"white",,8,"not legal","lt high school",,"a good idea",29925,0,,,36,23,34,,24.2,26.5,,,"not legal"
913,20,2000,"working fulltime",38,"never married",,1,,,"yes","male","no","yes","agree",100000,85,"white",5985,12,"legal","high school",,"a good idea",36575,0,"no","yes",27,29,30,,31.5,33.1,,200,"legal"
914,71,2000,"working parttime",3,"divorced",23,2,,,"yes","female","no","yes","strongly agree",110000,90,"white",5985,15,"legal","high school",,"a bad idea",5985,4,"no","no",74,,50,,37.8,,,500,"legal"
915,34,2000,"keeping house",,"separated",16,5,,,,"female",,"yes",,,,"white",,9,"legal","lt high school",,"a bad idea",7481,3,"no","no",17,,,5,,,"know god exists",,"legal"
916,19,2000,"working fulltime",40,"married",19,2,,,"yes","male",,"yes",,,,"white",12468,10,"legal","lt high school","0","a good idea",14131,1,,,39,36,39,2,34.2,25.5,"believe sometimes",150,"legal"
917,29,2000,"keeping house",,"never married",19,1,,,"yes","female","no","yes","agree",50000,90,"white",9143,11,,"lt high school",,,9143,2,"no","no",35,33,51,,63.5,27.7,,300,.a
918,44,2000,"temp not working",,"divorced",18,5,,0,"yes","female",,"yes",,,,"white",18287,13,,"junior college","3-5",,18287,2,"no","no",32,42,,4,,29.3,"believe but doubts",,.a
919,26,2000,"working fulltime",40,"never married",19,3,0,0,"yes","male",,"yes",,,,"black",21612,12,,"high school","0",,36575,1,"no","no",35,33,42,6,50.2,50.5,"know god exists",100,.a
920,41,2000,"working fulltime",45,"never married",,4,,3,"yes","male",,"yes",,,,"white",18287,16,"not legal","junior college","6-10","a good idea",21612,0,,,44,33,,5,,27.7,,70,"not legal"
921,84,2000,"retired",,"widowed",19,5,,,,"female",,"yes",,,,"white",,6,"not legal","lt high school",,"a good idea",,1,"no","no",36,,39,,34.2,,,,"not legal"
922,32,2000,"unempl, laid off",,"never married",20,7,,,,"male","no","yes","disagree",,80,"white",2992,8,"legal","lt high school",,"a good idea",14131,1,,,22,,30,,29.4,,,,"legal"
923,55,2000,"working fulltime",52,"married",27,13,,,"yes","male",,"yes",,,,"white",18287,12,"legal","high school","1-2","a good idea",36575,2,,,39,,30,7,36.5,,"believe sometimes",,"legal"
924,38,2000,"working fulltime",48,"married",29,1,0,15,,"male",,"yes",,,,"white",44887,16,"not legal","bachelor",,"depends",141038,2,"no","no",73,46,47,6,48.5,38.4,"know god exists",200,"not legal"
925,49,2000,"working fulltime",40,"divorced",21,2,,2,"yes","male","no","yes","agree",100000,50,"white",21612,14,"legal","junior college",,"a good idea",21612,1,,,46,51,62,,70.5,36.5,,2000,"legal"
926,24,2000,"unempl, laid off",,"separated",20,1,,,"no","female",,"yes",,,,"white",21612,12,,"high school","1-2",,21612,1,,"no",51,28,30,5,36.5,17.1,"know god exists",100,.a
927,24,2000,"working fulltime",40,"separated",17,2,,12,"no","female","yes","yes","agree",450000,50,"white",7481,12,,"high school",,,18287,1,"no","no",39,46,33,,27.7,38.4,,75,.a
928,35,2000,"working parttime",12,"married",27,8,,,"yes","male","yes","yes","strongly agree",100000,80,"white",7481,18,"legal","bachelor",,"a good idea",24937,2,"no","no",69,46,49,,44.3,38.4,,500,"legal"
929,63,2000,"retired",,"divorced",35,2,,,,"male",,"yes",,,,"white",,18,"not legal","graduate",,"a good idea",18287,1,"no","no",64,66,69,7,86.5,80.3,"know god exists",350,"not legal"
930,41,2000,"working fulltime",48,"divorced",23,3,,0,,"male",,"yes",,,,"white",24937,11,"legal","lt high school",,"a good idea",24937,1,"no","no",33,,35,3,37.4,,,,"legal"
931,40,2000,"keeping house",,"married",19,6,,,"yes","female",,"yes",,,,"white",,12,"not legal","lt high school","0","a bad idea",15793,1,,,32,28,35,,36.4,21.6,"believe sometimes",120,"not legal"
932,56,2000,"working fulltime",40,"divorced",20,11,,0,,"female",,"yes",,,,"white",12468,11,"not legal","high school","1-2","a bad idea",12468,3,,,31,,39,9,34.2,,"know god exists",596,"not legal"
933,20,2000,"working parttime",15,"married",18,1,,,"yes","female","no","yes","agree",100000,40,"white",2992,12,"legal","high school",,"depends",18287,1,"no","no",28,30,,,,29.4,,,"legal"
934,42,2000,"working parttime",22,"divorced",,5,,,"yes","female","no","yes","agree","> 1000000",95,"white",,12,,"high school",,,18287,0,"yes","yes",25,,43,,63.2,,,,.a
935,27,2000,"working fulltime",30,"never married",,2,,2,"yes","male",,"yes",,,,"white",12468,16,"legal","bachelor","3-5","depends",12468,0,,,46,64,66,6,80.3,78.5,"believe but doubts",,"legal"
936,42,2000,"working fulltime",30,"divorced",17,3,,,"yes","female","yes","yes","agree",,75,"white",54862,14,"legal","junior college",,"a good idea",54862,1,"yes","no",51,33,47,,38.2,50.5,,,"legal"
937,50,2000,"working fulltime",40,"divorced",,6,2,3,"no","female",,"yes",,,,"white",29925,18,"legal","bachelor","26-50","a good idea",29925,0,,,64,,40,8,37.3,,,,"legal"
938,22,2000,"temp not working",,"never married",16,6,0,0,"yes","female",,"yes",,,,"other",1330,8,,"lt high school","1-2",,7481,1,"no","yes",36,21,34,4,32.8,37.5,"know god exists",,.a
939,26,2000,"working parttime",25,"never married",,1,,,,"female",,"yes",,,,"white",5985,18,"legal","junior college",,"depends",5985,0,"yes","yes",,22,50,7,32.7,28.4,"some higher power",,"legal"
940,43,2000,"working fulltime",50,"never married",,4,,,"yes","female","no","yes","agree","> 1000000",65,"white",21612,19,"not legal","bachelor",,"depends",21612,0,"yes","yes",64,46,59,,73.3,38.4,,200,"not legal"
941,44,2000,"working fulltime",60,"married",15,11,,1,"yes","female",,"yes",,,,"black",15793,14,,"high school","1-2",,29925,4,"yes","yes",42,,,6,,,,700,.a
942,76,2000,"retired",,"widowed",26,9,,,"yes","female",,"yes",,,,"white",,9,"not legal","lt high school","6-10","a good idea",15793,2,,,33,,30,9,29.4,,"know god exists",,"not legal"
943,46,2000,"temp not working",,"married",24,2,,15,"yes","female","no","yes","agree",120000,95,"black",15793,17,,"bachelor",,,44887,3,"yes","yes",55,66,49,,,73.2,,150,.a
944,34,2000,"keeping house",,"married",26,7,,3,"yes","female","no","yes","strongly agree",100000,57,"white",,16,,"bachelor",,,36575,3,"yes","yes",41,65,39,,34.2,76.4,,250,.a
945,26,2000,"working fulltime",40,"divorced",,1,0,21,,"male",,"no",,,,"white",14131,13,,"high school",,"depends",14131,0,"yes","yes",21,,30,5,31.5,,"believe but doubts",,.b
946,44,2000,"working fulltime",50,"married",28,2,,,"yes","male","yes","yes","agree",500000,60,"white",29925,16,"not legal","bachelor",,"a bad idea",54862,2,"no","no",58,74,69,,73.9,81.9,,40,"not legal"
947,29,2000,"working fulltime",50,"divorced",22,3,,,"yes","male","no","yes","agree","> 1000000",35,"white",,13,"not legal","high school",,"a good idea",24937,1,"yes","no",,,40,,37.3,,,500,"not legal"
948,31,2000,"temp not working",,"divorced",17,14,,0,"no","female","yes","yes","strongly agree",150000,5,"other",10806,9,"legal","high school",,"depends",15793,5,,,42,,37,,38,,,,"legal"
949,39,2000,"working fulltime",32,"married",28,1,0,6,"no","male",,"yes",,,,"white",66500,15,"legal","junior college","26-50","a good idea",66500,2,,,64,39,64,6,86.6,36.5,"believe but doubts",,"legal"
950,51,2000,"working fulltime",40,"married",,2,,16,,"female","no","yes",,"> 1000000",80,"white",134018,18,,"graduate",,,141038,0,"yes","yes",51,,,,,,,,.a
951,61,2000,"keeping house",,"married",37,11,,,,"female",,"yes",,,,"white",,18,,"graduate","6-10",,66500,2,"yes","yes",,,,7,,,"believe sometimes",200,.a
952,56,2000,"working fulltime",60,"married",,7,,,,"male",,"yes",,,,"white",24937,18,"legal","bachelor",,"a bad idea",36575,0,"yes","yes",51,40,64,10,78.5,53.3,,,"legal"
953,50,2000,"other",,"never married",,3,,0,,"female","yes","yes",,"> 1000000",85,"white",,17,"legal","graduate",,"depends",4322,0,,,62,,72,,93.3,,,,"legal"
954,49,2000,"working fulltime",40,"divorced",,13,,,"yes","male","yes","no",,,75,"other",10806,13,,"high school",,"a good idea",10806,,"no","no",35,,,,,,,200,.b
955,50,2000,"other",,"divorced",,1,2,0,,"female",,"yes",,,,"white",,12,"legal","high school","3-5","a good idea",2992,0,,,17,52,,10,,69.2,"know god exists",,"legal"
956,35,2000,"school",,"never married",,1,,4,,"female","yes","yes","strongly disagree","> 1000000",90,"white",7481,16,"legal","bachelor",,"a good idea",9143,0,,,66,46,74,,87,38.4,,,"legal"
957,61,2000,"working fulltime",36,"separated",20,2,,0,"no","female",,"no",,,,"white",14131,8,"not legal","lt high school","16-25","depends",14131,4,,,42,31,,4,,27.5,"know god exists",430,"not legal"
958,32,2000,"working fulltime",40,"never married",,5,,1,"yes","female","no","yes","strongly disagree","> 1000000",75,"white",12468,12,,"high school",,,12468,0,"yes",,28,17,,,,29,,800,.a
959,56,2000,"working fulltime",40,"married",,2,,,"no","male","no","yes","agree","> 1000000",90,"white",66500,18,"legal","bachelor",,"a good idea",141038,0,"yes","yes",49,,40,,37.3,,,,"legal"
960,35,2000,"working fulltime",40,"married",,3,3,10,,"female",,"yes",,,,"white",24937,16,,"bachelor","6-10",,66500,0,"yes","yes",54,,49,8,64.1,,,,.a
961,46,2000,"working fulltime",50,"married",,1,,12,"yes","male","no","yes","strongly agree",230000,90,"white",134018,16,,"bachelor",,,141038,0,"yes","yes",74,32,64,,86,38.9,,300,.a
962,39,2000,"working parttime",6,"married",33,4,,0,"yes","male",,"yes",,,,"white",7481,20,"legal","graduate","26-50","a good idea",44887,2,,,74,64,52,10,63.2,85.1,"know god exists",2000,"legal"
963,41,2000,"working fulltime",50,"married",,6,,5,,"female","no","yes",,600000,,"white",,16,"not legal","bachelor",,"a bad idea",,0,,,74,,51,,63.5,,,,"not legal"
964,34,2000,"working fulltime",50,"never married",,1,,,"yes","male","yes","yes","disagree",100000,60,"white",29925,13,"legal","high school",,"a good idea",36575,,"yes","yes",51,49,60,,60.5,44.3,,,"legal"
965,34,2000,"keeping house",,"married",29,,,2,,"female","no","yes","agree","> 1000000",90,"white",,16,,"bachelor",,,66500,2,"yes","yes",64,,44,,50.7,,,,.a
966,28,2000,"working fulltime",40,"never married",,3,,,,"female",,"no",,,,"white",36575,18,"legal","graduate",,"depends",36575,2,"yes","yes",63,44,,10,,50.7,"know god exists",,"legal"
967,47,2000,"working fulltime",40,"married",19,4,,,"yes","female",,"yes",,,,"white",5985,11,"not legal","lt high school","1-2","depends",29925,3,,,36,32,30,,31.5,38.9,"believe but doubts",,"not legal"
968,42,2000,"working fulltime",39,"divorced",21,7,,,"yes","female","yes","no","disagree",130000,70,"white",7481,12,"not legal","high school",,"depends",21612,2,"no","no",42,,36,,28.6,,,2000,"not legal"
969,37,2000,"working fulltime",60,"married",26,2,,,"yes","male",,"yes",,,,"white",44887,12,,"high school","0",,44887,1,"yes","yes",36,,39,,34.2,,,,.a
970,40,2000,"keeping house",,"married",32,4,0,0,"yes","female",,"yes",,,,"white",9143,15,"not legal","junior college","0","a bad idea",141038,1,,,38,46,49,8,64.1,38.4,"know god exists",,"not legal"
971,50,2000,"other",,"never married",,13,,,"no","male","yes","yes","strongly disagree",30000,10,"white",,10,"not legal","lt high school",,"a good idea",333,0,"yes","no",27,23,23,,26.5,26.5,,300,"not legal"
972,42,2000,"working fulltime",48,"never married",,0,,,"no","male",,"yes",,,,"white",4322,12,,"high school","3-5",,12468,0,"yes","no",44,34,,9,,37.7,"dont believe",,.a
973,43,2000,"working parttime",10,"married",33,2,0,7,"yes","female",,"yes",,,,"white",14131,12,"legal","high school","50+","a bad idea",141038,2,,,47,45,36,7,28.6,39.6,"know god exists",450,"legal"
974,76,2000,"retired",,"divorced",22,6,,0,"yes","male",,"yes",,,,"white",,13,,"high school","6-10",,9143,7,"no","no",59,,,4,,,"know god exists",,.a
975,78,2000,"retired",,"widowed",24,0,,,,"female",,"yes",,,,"white",,12,"not legal","high school",,"a bad idea",9143,2,"no","no",35,,40,4,37.3,,"know god exists",350,"not legal"
976,41,2000,"working fulltime",32,"divorced",24,2,,,"yes","male","no","yes","agree","> 1000000",100,"white",36575,17,"legal","bachelor",,"a good idea",36575,2,"no","no",73,43,61,,76.3,36.9,,200,"legal"
977,61,2000,"working fulltime",50,"never married",,0,,,"yes","male","yes","yes","agree",300000,95,"white",66500,18,"not legal","graduate",,"a bad idea",66500,0,"no","no",64,,40,,37.3,,,500,"not legal"
978,49,2000,"working fulltime",55,"married",27,2,,0,"yes","female","no","yes","agree",250000,95,"white",15793,16,"not legal","bachelor",,"a bad idea",44887,2,,,44,,42,,49.3,,,600,"not legal"
979,59,2000,"keeping house",,"married",19,2,,,"yes","female","no","yes","strongly agree",250000,95,"white",9143,18,"not legal","graduate",,"a good idea",15793,5,"no","no",64,,40,,37.3,,,200,"not legal"
980,39,2000,"keeping house",,"divorced",20,4,,1,,"female",,"yes",,,,"white",,12,"not legal","high school",,"a good idea",7481,2,"yes","yes",,,40,6,32.3,,"know god exists",1500,"not legal"
981,24,2000,"keeping house",,"married",20,7,0,2,,"male",,"yes",,,,"white",,12,"legal","high school",,"a good idea",24937,2,"no","no",36,,,5,,,"dont believe",,"legal"
982,31,2000,"working fulltime",36,"never married",21,7,,,"yes","female","yes","yes","strongly agree",120000,85,"white",,10,"legal","high school",,"depends",2327,3,,"no",47,28,,,,32.4,,50,"legal"
983,35,2000,"working fulltime",40,"never married",17,1,,,"yes","female","no","yes","agree",,50,"black",44887,12,"not legal","high school",,"a bad idea",44887,2,,,36,42,,,,29.3,,,"not legal"
984,29,2000,"keeping house",,"never married",21,13,,,"yes","female","yes","yes","agree",60000,,"white",,14,,"high school",,,9143,3,"no","no",51,42,,,,29.3,,200,.a
985,37,2000,"keeping house",,"separated",23,2,1,0,"yes","male",,"yes",,,,"white",10806,10,"legal","high school","1-2","a bad idea",10806,2,,,37,66,,6,,73.2,"believe sometimes",,"legal"
